id,model_name,eval_method,exact_match,similarity,bleu3,rouge_l,difficulty,project_size,tokens_total,tokens_in,tokens_out,total_cost,processing_time_s
102729026392,groq:qwen/qwen3-32b,agent,0.0,0.6288190065497743,0.6102228543611481,0.6935549250101338,easy,medium,5178,2468,2710,0.002315,18.657
102729026392,groq:qwen/qwen3-32b,bypass7,0.0,0.8566204214314739,0.8761965498925608,0.909544950055494,easy,medium,7988,6449,1539,0.002778,10.129
102729026392,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.3034127495170637,0.2469323540334539,0.38195254764683,easy,medium,7300,5551,1749,0.0,40.284
102729026392,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,0.0,0.8566204214314739,0.8761965498925608,0.909544950055494,easy,medium,13220,12606,614,0.0,16.44
102729026392,openai/gpt-5-nano,agent,0.0,0.9223424185652987,0.9342057100836728,0.9556818181818182,easy,medium,8904,5548,3356,0.00162,84.679
102729026392,openai/gpt-5-nano,bypass7,0.0,0.8566204214314739,0.8761965498925608,0.909544950055494,easy,medium,15086,13656,1430,0.001255,49.733
102813106132,groq:qwen/qwen3-32b,agent,0.0,0.6004086182493156,0.6608152171235624,0.6956445423574884,hard,medium,51390,28162,23228,0.021872,1867.908
102813106132,groq:qwen/qwen3-32b,bypass7,0.0,0.6854140804965368,0.6817904852188893,0.7479882528245723,hard,medium,321794,296222,25572,0.100992,964.866
102813106132,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.36998672836639984,0.30796094254768747,0.4530083618480357,hard,medium,103002,88665,14337,0.0,2310.952
102813106132,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,0.0,0.6854140804965368,0.6817904852188893,0.7479882528245723,hard,medium,521591,506742,14849,0.0,2496.466
102813106132,openai/gpt-5-nano,agent,0.0,0.6233364195064947,0.6292097770909638,0.690227784320213,hard,medium,128134,88643,39491,0.020228,3341.8489999999997
102813106132,openai/gpt-5-nano,bypass7,0.0,0.6854140804965368,0.6817904852188893,0.7479882528245723,hard,medium,1076030,1000070,75960,0.080388,2908.71
103174421845,groq:qwen/qwen3-32b,agent,0.0,0.5794781846086385,0.6159623672909175,0.6623246492985971,easy,small,2773,1632,1141,0.001146,6.929
103174421845,groq:qwen/qwen3-32b,bypass7,1.0,1.0,1.0,1.0,easy,small,7205,5298,1907,0.002662,9.248
103174421845,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.9748734295893492,0.993139945199973,0.9931662870159452,easy,small,4672,3503,1169,0.0,26.758
103174421845,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,1.0,1.0,1.0,1.0,easy,small,10269,9059,1210,0.0,27.884
103174421845,openai/gpt-5-nano,agent,0.0,0.9849077697037452,1.0,1.0,easy,small,4678,3499,1179,0.000647,28.519
103174421845,openai/gpt-5-nano,bypass7,0.0,0.795196671709531,0.7749036241080127,0.876805437553101,easy,small,11886,10020,1866,0.001247,61.361
103436751760,groq:qwen/qwen3-32b,agent,0.0,0.5417464878671775,0.636424850782263,0.6692698164779383,medium,medium,6856,4051,2805,0.00283,18.026
103436751760,groq:qwen/qwen3-32b,bypass7,1.0,1.0,1.0,1.0,medium,medium,11613,10016,1597,0.003847,12.115
103436751760,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.5055029434348606,0.3894156582033519,0.6822262118491921,medium,medium,11860,9813,2047,0.0,47.78
103436751760,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,1.0,1.0,1.0,1.0,medium,medium,23280,21878,1402,0.0,33.747
103436751760,openai/gpt-5-nano,agent,0.0,0.2789864346045559,0.0524991565121963,0.4073756432246999,medium,medium,10799,9809,990,0.000886,45.079
103436751760,openai/gpt-5-nano,bypass7,0.0,0.933964678781674,0.940668383383532,0.9653212052302445,medium,medium,27837,24381,3456,0.002601,76.569
103656426411,groq:qwen/qwen3-32b,agent,0.0,0.2348074519373847,0.2398601160337218,0.2202183198860939,easy,large,2532,730,1802,0.001275,13.626
103656426411,groq:qwen/qwen3-32b,bypass7,0.0,0.8883384146341463,0.8575642689845921,0.9499072356215214,easy,large,10502,5839,4663,0.004444,20.054
103656426411,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.6417813765182186,0.7822578789444187,0.8091353996737357,easy,large,4202,2658,1544,0.0,36.046
103656426411,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,0.0,0.7850609756097561,0.855872604324807,0.8608534322820037,easy,large,14335,10253,4082,0.0,97.818
103656426411,openai/gpt-5-nano,agent,0.0,0.7869664634146342,0.8633130183401023,0.8576709796672828,easy,large,3825,2654,1171,0.000601,41.278
103656426411,openai/gpt-5-nano,bypass7,0.0,0.7850609756097561,0.855872604324807,0.8608534322820037,easy,large,7738,7046,692,0.000629,32.261
104567777563,groq:qwen/qwen3-32b,agent,0.0,0.932930624199158,0.9452767303437974,0.952598888525662,medium,medium,12365,7420,4945,0.005069,47.519
104567777563,groq:qwen/qwen3-32b,bypass7,0.0,0.9993291934989268,0.9994188048753568,0.9998304510003392,medium,medium,18826,16834,1992,0.006057,26.052
104567777563,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.1828099236933931,0.0122683882772758,0.3160592255125285,medium,medium,18680,16632,2048,0.0,49.129
104567777563,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,0.0,0.9993291934989268,0.9994188048753568,0.9998304510003392,medium,medium,42318,38218,4100,0.0,105.291
104567777563,openai/gpt-5-nano,agent,0.0,0.989378427086928,0.982786579121942,0.99582943229211,medium,medium,26746,16628,10118,0.004879,117.124
104567777563,openai/gpt-5-nano,bypass7,0.0,0.9486368342344416,0.9087711922542652,0.9788263762855414,medium,medium,39182,36839,2343,0.002779,103.294
104706623137,groq:qwen/qwen3-32b,agent,0.0,0.4687851275399913,0.5182116184005771,0.5905044510385756,medium,large,4539,1959,2580,0.00209,19.063
104706623137,groq:qwen/qwen3-32b,bypass7,0.0,0.9680205215904232,0.9784915031228232,0.9880450070323488,medium,large,8500,6117,2383,0.00318,13.069
104706623137,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.7781103035485251,0.7882534789443056,0.8694980694980695,medium,large,6976,4929,2047,0.0,60.713
104706623137,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,0.0,0.9680205215904232,0.9784915031228232,0.9880450070323488,medium,large,16345,13533,2812,0.0,65.051
104706623137,openai/gpt-5-nano,agent,0.0,0.945788798631894,0.9568465685327904,0.9714487134296792,medium,large,7405,4925,2480,0.001238,78.241
104706623137,openai/gpt-5-nano,bypass7,0.0,0.7181701581872595,0.6957283351323916,0.8351999999999999,medium,large,17940,14391,3549,0.002139,88.245
105038906426,groq:qwen/qwen3-32b,agent,0.0,0.4525722668622678,0.4570951959583524,0.5537535529175722,easy,medium,4839,1526,3313,0.002397,53.604
105038906426,groq:qwen/qwen3-32b,bypass7,0.0,0.9069681791396582,0.924739612125734,0.96045197740113,easy,medium,6601,4760,1841,0.002467,10.732
105038906426,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.7219357690041249,0.7087091343257549,0.8408304498269896,easy,medium,5809,3760,2049,0.0,47.357
105038906426,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,0.0,0.9871213229913656,0.991987293640342,0.9924766777008728,easy,medium,9377,8888,489,0.0,13.557
105038906426,openai/gpt-5-nano,agent,0.0,0.9328226281673542,0.954097538516308,0.9668304668304668,easy,medium,6421,3756,2665,0.001254,43.526
105038906426,openai/gpt-5-nano,bypass7,0.0,0.9069681791396582,0.924739612125734,0.96045197740113,easy,medium,10994,9751,1243,0.000985,55.718
105354636072,groq:qwen/qwen3-32b,agent,0.0,0.9450294596966278,0.9524799554738712,0.957008801920419,medium,huge,11073,5565,5508,0.004864,161.0
105354636072,groq:qwen/qwen3-32b,bypass7,0.0,0.9881368219864232,0.9926265923329024,0.9906952114380816,medium,huge,14440,12709,1731,0.004707,44.783
105354636072,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.1246127990509458,0.000134157929344,0.1688778330569375,medium,huge,17456,15407,2049,0.0,51.465
105354636072,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,0.0,0.9881368219864232,0.9926265923329024,0.9906952114380816,medium,huge,39861,35760,4101,0.0,112.927
105354636072,openai/gpt-5-nano,agent,0.0,0.9787451393923416,0.9785334243074028,0.985695708712614,medium,huge,29514,15403,14111,0.006415,123.306
105354636072,openai/gpt-5-nano,bypass7,1.0,1.0,1.0,1.0,medium,huge,34823,33336,1487,0.002262,107.262
105857803793,groq:qwen/qwen3-32b,agent,0.0,0.5210713870747145,0.5264465201042444,0.5843271092046045,hard,medium,6438,2646,3792,0.003005,40.548
105857803793,groq:qwen/qwen3-32b,bypass7,0.0,0.8878769342748598,0.8855766257017821,0.9322918432315189,hard,medium,16590,12737,3853,0.005967,34.364
105857803793,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.8363628507203185,0.9227566399491849,0.9029791925854984,hard,medium,9102,5714,3388,0.0,150.718
105857803793,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,0.0,0.8878769342748598,0.8855766257017821,0.9322918432315189,hard,medium,20307,18758,1549,0.0,74.058
105857803793,openai/gpt-5-nano,agent,0.0,0.9534130852950207,0.9567027888934234,0.9689979651622203,hard,medium,8919,5706,3213,0.00157,263.486
105857803793,openai/gpt-5-nano,bypass7,0.0,0.9524285344310846,0.9495141898124646,0.9614833518175137,hard,medium,26765,23224,3541,0.0025770000000000003,233.148
106151546310,groq:qwen/qwen3-32b,agent,0.0,0.773682639224519,0.8334851865469401,0.8530655530050182,hard,large,33912,19295,14617,0.014218999999999999,374.625
106151546310,groq:qwen/qwen3-32b,bypass7,0.0,0.8926756764172552,0.9370565093214877,0.9430838771397042,hard,large,76496,69750,6746,0.024209,202.752
106151546310,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.2911074836043239,0.17459006593830317,0.39489722541150596,hard,large,47719,41572,6147,0.0,430.57500000000005
106151546310,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,0.0,0.8926756764172552,0.9370565093214877,0.9430838771397042,hard,large,146113,139632,6481,0.0,544.755
106151546310,openai/gpt-5-nano,agent,0.0,0.5190350468669026,0.6338915120748428,0.5855767623947497,hard,large,53273,41565,11708,0.006762,716.16
106151546310,openai/gpt-5-nano,bypass7,0.0,0.8913121905928518,0.8914800773621154,0.9207910407916192,hard,large,168725,157169,11556,0.012481,698.352
106986943940,groq:qwen/qwen3-32b,agent,0.0,0.6703160504028094,0.730910192660469,0.7603978300180831,medium,medium,2649,1622,1027,0.001076,7.352
106986943940,groq:qwen/qwen3-32b,bypass7,0.0,0.9717603211009176,0.944569880304618,0.988895382817066,medium,medium,5904,4693,1211,0.002075,7.29
106986943940,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.9681766055045872,0.9441638422527042,0.986573263280794,medium,medium,5698,4012,1686,0.0,38.759
106986943940,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,0.0,0.9717603211009176,0.944569880304617,0.988895382817066,medium,medium,14804,11853,2951,0.0,66.889
106986943940,openai/gpt-5-nano,agent,0.0,0.9709002293577982,0.944000487266604,0.9883040935672516,medium,medium,5689,4008,1681,0.000873,27.665
106986943940,openai/gpt-5-nano,bypass7,0.0,0.9658830275229358,0.941690856620384,0.9859320046893316,medium,medium,10363,9706,657,0.000748,34.841
107501480065,groq:qwen/qwen3-32b,agent,0.0,0.6246871871871872,0.592206419709106,0.6781411359724612,easy,large,2696,1186,1510,0.001235,10.342
107501480065,groq:qwen/qwen3-32b,bypass7,0.0,0.9141132351596084,0.9008107429251964,0.9460500963391136,easy,large,6335,4228,2107,0.002469,9.718
107501480065,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.9432182607055272,0.930495914596594,0.9638318670576737,easy,large,4923,2886,2037,0.0,47.533
107501480065,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,0.0,0.9141132351596084,0.9008107429251964,0.9460500963391136,easy,large,7883,7271,612,0.0,15.969
107501480065,openai/gpt-5-nano,agent,0.0,0.8818643285648362,0.9154252523359724,0.9262135922330096,easy,large,4959,2885,2074,0.000974,52.287
107501480065,openai/gpt-5-nano,bypass7,0.0,0.9141132351596084,0.9008107429251964,0.9460500963391136,easy,large,9058,8026,1032,0.000814,38.621
107753764139,groq:qwen/qwen3-32b,agent,0.0,0.4778555953040762,0.5753106513813183,0.6193293885601578,easy,small,4110,1726,2384,0.001907,15.86
107753764139,groq:qwen/qwen3-32b,bypass7,0.0,0.8168190127970749,0.7613827326357432,0.8722079824240205,easy,small,12143,7830,4313,0.004815,19.781
107753764139,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.636837294332724,0.6136768773041836,0.7841306884480748,easy,small,6246,4203,2043,0.0,46.936
107753764139,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,0.0,0.919835466179159,0.9132064311767149,0.9596746865469332,easy,small,11253,10247,1006,0.0,23.918
107753764139,openai/gpt-5-nano,agent,0.0,0.898832016489179,0.8876487987923499,0.93824,easy,small,7345,4199,3146,0.001468,69.667
107753764139,openai/gpt-5-nano,bypass7,0.0,0.919835466179159,0.9132064311767149,0.9596746865469332,easy,small,15636,12701,2935,0.001809,63.111
109035770164,groq:qwen/qwen3-32b,agent,0.0,0.3992933509957358,0.3828794136499542,0.46828445510617267,hard,large,8446,3238,5208,0.004012,54.132
109035770164,groq:qwen/qwen3-32b,bypass7,0.0,0.6537091793735637,0.6884000925711844,0.7167579068884922,hard,large,23001,17750,5251,0.008246,40.954
109035770164,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.7217306474299392,0.879888769485485,0.8334285257848812,hard,large,11036,7542,3494,0.0,156.882
109035770164,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,0.0,0.6537091793735637,0.6884000925711844,0.7167579068884922,hard,large,32810,28884,3926,0.0,176.298
109035770164,openai/gpt-5-nano,agent,0.0,0.7281177165519878,0.7997152452078006,0.7784042888200875,hard,large,11339,7541,3798,0.001897,218.246
109035770164,openai/gpt-5-nano,bypass7,0.0,0.6537091793735637,0.6884000925711844,0.7167579068884922,hard,large,40585,34742,5843,0.0040739999999999995,249.996
110210585948,groq:qwen/qwen3-32b,agent,0.0,0.4687383636302088,0.6537964081618755,0.5625192012288788,medium,large,5628,2294,3334,0.002632,22.006
110210585948,groq:qwen/qwen3-32b,bypass7,1.0,1.0,1.0,1.0,medium,large,9202,6979,2223,0.003335,16.072
110210585948,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.4546845960424183,0.3732924330784244,0.5472636815920398,medium,large,7553,5504,2049,0.0,49.442
110210585948,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,1.0,1.0,1.0,1.0,medium,large,13804,12833,971,0.0,26.108
110210585948,openai/gpt-5-nano,agent,0.0,0.6955832513392369,0.8914378827430166,0.8095878136200717,medium,large,9495,5500,3995,0.001873,91.567
110210585948,openai/gpt-5-nano,bypass7,0.0,0.7158631245217011,0.7420772786529681,0.8233867054827754,medium,large,16943,14663,2280,0.001645,67.125
110606214242,groq:qwen/qwen3-32b,agent,0.0,0.87367889127678,0.8930902370689712,0.9159627473903309,hard,medium,34459,21162,13297,0.013982,388.788
110606214242,groq:qwen/qwen3-32b,bypass7,1.0,1.0,1.0,1.0,hard,medium,82225,76639,5586,0.025521000000000002,182.69400000000002
110606214242,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.17113633978197917,0.015576389097489901,0.2671220578085278,hard,medium,60228,54084,6144,0.0,433.443
110606214242,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,0.0,0.9280483841918109,0.9514159384643381,0.9521512128057412,hard,medium,179322,173137,6185,0.0,521.856
110606214242,openai/gpt-5-nano,agent,0.0,0.5271009152756393,0.5249095551367455,0.597759790435337,hard,medium,72742,54072,18670,0.010172,649.962
110606214242,openai/gpt-5-nano,bypass7,1.0,1.0,1.0,1.0,hard,medium,205692,193852,11840,0.014428,723.687
110996792085,groq:qwen/qwen3-32b,agent,0.0,0.8344497071270425,0.9126437498213612,0.8964072225303507,easy,medium,14507,8048,6459,0.006145,92.381
110996792085,groq:qwen/qwen3-32b,bypass7,0.0,0.8537424679441414,0.9159237165539424,0.9177112424498278,easy,medium,20696,18526,2170,0.006653,64.514
110996792085,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.1224690864437273,0.0012789990033862,0.2401509266452113,easy,medium,20969,18921,2048,0.0,49.611
110996792085,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,0.0,0.8537424679441414,0.9159237165539424,0.9177112424498278,easy,medium,43660,41176,2484,0.0,77.444
110996792085,openai/gpt-5-nano,agent,0.0,0.8594825370534311,0.9004999540056784,0.927958833619211,easy,medium,32238,18918,13320,0.006274,122.22
110996792085,openai/gpt-5-nano,bypass7,0.0,0.9932033012536768,0.9926354714383072,0.9968334388853703,easy,medium,45272,42353,2919,0.003285,112.696
111549708192,groq:qwen/qwen3-32b,agent,0.0,0.5930042934109261,0.6484950527145745,0.6372138734453349,hard,medium,18226,8885,9341,0.008088,266.246
111549708192,groq:qwen/qwen3-32b,bypass7,0.0,0.7678664286673694,0.7330251908080345,0.8316675989249714,hard,medium,28019,24982,3037,0.009035999999999999,203.034
111549708192,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.377261524911553,0.36422809933524763,0.47980464435806586,hard,medium,24322,21218,3104,0.0,148.98
111549708192,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,0.0,0.7678664286673694,0.7330251908080342,0.8316675989249714,hard,medium,54336,52197,2139,0.0,166.966
111549708192,openai/gpt-5-nano,agent,0.0,0.8799232822445631,0.8582323316552793,0.9241156075966066,hard,medium,39361,21210,18151,0.008320999999999999,370.178
111549708192,openai/gpt-5-nano,bypass7,1.0,1.0,1.0,1.0,hard,medium,58453,55113,3340,0.004092,244.21
112177815245,groq:qwen/qwen3-32b,agent,0.0,0.551106562619931,0.5504638951186135,0.6170347003154574,easy,medium,1928,985,943,0.000842,5.985
112177815245,groq:qwen/qwen3-32b,bypass7,1.0,1.0,1.0,1.0,easy,medium,5819,3719,2100,0.002318,9.461
112177815245,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.9711207884483154,0.9749070432207324,0.982741116751269,easy,medium,3019,2103,916,0.0,21.056
112177815245,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,1.0,1.0,1.0,1.0,easy,medium,7744,6400,1344,0.0,30.477
112177815245,openai/gpt-5-nano,agent,0.0,0.976840174271956,0.98002704958932,0.9898785425101214,easy,medium,3020,2099,921,0.000473,24.34
112177815245,openai/gpt-5-nano,bypass7,1.0,1.0,1.0,1.0,easy,medium,8848,7034,1814,0.001077,44.0
112872124646,groq:qwen/qwen3-32b,agent,0.0,0.788735171371299,0.8630518191496869,0.8698092031425365,medium,medium,6802,4066,2736,0.002793,25.427
112872124646,groq:qwen/qwen3-32b,bypass7,0.0,0.9486913323941574,0.9391710954762872,0.9715466539500874,medium,medium,12364,10341,2023,0.004192,21.143
112872124646,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.3118187884629643,0.1218026021007409,0.50427153082429,medium,medium,13647,11598,2049,0.0,48.048
112872124646,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,0.0,0.9486913323941574,0.9391710954762872,0.9715466539500874,medium,medium,25946,24998,948,0.0,26.07
112872124646,openai/gpt-5-nano,agent,0.0,0.8216935835879529,0.9208135229329774,0.9091737545565004,medium,medium,18131,11594,6537,0.003195,101.406
112872124646,openai/gpt-5-nano,bypass7,0.0,0.8260176466226736,0.9154022286492466,0.9130706691682302,medium,medium,31743,28106,3637,0.00286,118.914
112937595172,groq:qwen/qwen3-32b,agent,0.0,0.8119610258707581,0.7941731745852144,0.8429882044560943,easy,large,3601,1853,1748,0.001569,13.468
112937595172,groq:qwen/qwen3-32b,bypass7,0.0,0.9824851744586952,0.9839179349760464,0.9902851770604826,easy,large,8040,5928,2112,0.002965,11.565
112937595172,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.5138601572196939,0.4805331895362499,0.7185301016419077,easy,large,6511,4462,2049,0.0,46.363
112937595172,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,0.0,0.9824851744586952,0.9839179349760464,0.9902851770604826,easy,large,11252,10517,735,0.0,18.983
112937595172,openai/gpt-5-nano,agent,0.0,0.9921907110563092,0.9920037625198996,0.9938118811881188,easy,large,7699,4458,3241,0.001519,38.941
112937595172,openai/gpt-5-nano,bypass7,0.0,0.9890094887023004,0.9911208604732896,0.9928858645221156,easy,large,38562,25700,12862,0.00643,258.399
113404845952,groq:qwen/qwen3-32b,agent,0.0,0.3922666319489649,0.4724381566597109,0.5123754419800707,easy,large,2865,1035,1830,0.00138,15.986
113404845952,groq:qwen/qwen3-32b,bypass7,0.0,0.871042026482441,0.8705249919274857,0.9130434782608696,easy,large,5360,3774,1586,0.00203,53.964
113404845952,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.6954519286125505,0.818859941822885,0.8221957040572793,easy,large,3705,2339,1366,0.0,31.447
113404845952,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,0.0,0.7452504317789292,0.7120603352683206,0.8525252525252526,easy,large,9243,7390,1853,0.0,41.753
113404845952,openai/gpt-5-nano,agent,0.0,0.8672999424294761,0.9987787495454512,0.9354460093896714,easy,large,3826,2335,1491,0.000713,44.165
113404845952,openai/gpt-5-nano,bypass7,0.0,0.871042026482441,0.8705249919274857,0.9130434782608696,easy,large,9333,7650,1683,0.001056,46.841
113576311960,groq:qwen/qwen3-32b,agent,0.0,0.45280763787835304,0.4667631818040176,0.5262549540726111,hard,large,14604,6628,7976,0.006628,170.272
113576311960,groq:qwen/qwen3-32b,bypass7,0.0,0.8623143614718167,0.8694531987046131,0.9191479612997191,hard,large,63265,55788,7477,0.020589,114.808
113576311960,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.8384341894264687,0.809828486031745,0.9051734614788515,hard,large,22608,16685,5923,0.0,532.048
113576311960,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,0.0,0.8623143614718167,0.8694531987046132,0.9191479612997191,hard,large,153879,140201,13678,0.0,1228.368
113576311960,openai/gpt-5-nano,agent,0.0,0.951328875531674,0.9511583890638067,0.9735643214998924,hard,large,24721,16669,8052,0.004054,539.44
113576311960,openai/gpt-5-nano,bypass7,0.0,0.8623143614718167,0.8694531987046131,0.9191479612997191,hard,large,103504,100101,3403,0.006366,419.544
114626546336,groq:qwen/qwen3-32b,agent,0.0,0.8684432588398617,0.8747689868271873,0.9048800661703889,easy,medium,6529,3391,3138,0.002835,26.466
114626546336,groq:qwen/qwen3-32b,bypass7,0.0,0.8961598501404933,0.8872285300024976,0.9360288008861812,easy,medium,10952,8673,2279,0.00386,18.911
114626546336,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.2913830783640337,0.113632388766364,0.4522331263769277,easy,medium,10930,8881,2049,0.0,47.896
114626546336,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,0.0,0.8912581954417733,0.8941044541644604,0.9448454310227428,easy,medium,22020,20316,1704,0.0,45.151
114626546336,openai/gpt-5-nano,agent,0.0,0.9715579144551982,0.9822760616088028,0.9859929310119124,easy,medium,15596,8877,6719,0.003131,58.927
114626546336,openai/gpt-5-nano,bypass7,0.0,0.8912581954417733,0.8941044541644604,0.9448454310227428,easy,medium,24455,21724,2731,0.002179,63.576
115057678072,groq:qwen/qwen3-32b,agent,0.0,0.4451571927596062,0.4687953716950202,0.52318985652319,medium,medium,3270,1455,1815,0.001493,13.067
115057678072,groq:qwen/qwen3-32b,bypass7,0.0,0.4896464290745175,0.4803610682538442,0.5553869499241275,medium,medium,6451,4718,1733,0.002391,9.721
115057678072,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.4852996845425867,0.812428768177902,0.653134328358209,medium,medium,5248,3614,1634,0.0,38.884
115057678072,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,1.0,1.0,1.0,1.0,medium,medium,11742,9928,1814,0.0,43.372
115057678072,openai/gpt-5-nano,agent,0.0,0.8820960698689957,0.909024727189612,0.9450980392156864,medium,medium,4973,3610,1363,0.000726,51.721
115057678072,openai/gpt-5-nano,bypass7,0.0,0.4896464290745175,0.4803610682538442,0.5553869499241275,medium,medium,12940,10708,2232,0.001428,49.383
115058474542,groq:qwen/qwen3-32b,agent,0.0,0.9361916771752836,0.9348635192499032,0.94,easy,medium,2558,1444,1114,0.001076,8.705
115058474542,groq:qwen/qwen3-32b,bypass7,0.0,0.0,0.0,0.0,easy,medium,5575,4068,1507,0.002069,9.16
